ID,Sector,LastPage,SmokedIn30Days,Extraverted,Critical,Dependable,Anxious,OpenExp,Reserved,Sympathetic,Disorganized,Calm,Conventional,DifficultRefrain,CigsPerDay,SmokeMoreEarly,SmokeWhileIll,TimeToFirstCig,HateToGiveUp,FirstCigAge,SmokingChangePostCrisis,AffordFavoriteBrand,SwitchedBrandPostCrisis,Gender,Age,Governorate,EducationLevel,CurrentEmploymentStatus,MaritalStatus,CloseFriends,NumSmokerFriends,MainIncomeSource,HouseholdIncomeType,MonthlyIncome,IncomeSufficiency,HouseholdSize,FinancialImpact,ExerciseFreq,SocialMediaHours,StressFreq,EmploymentStatusGeneral
335,0,5,0,2,0,2,0,3,4,0,3,0,4,0,1,0,0,2,0,21,2,1,0,1,24,0,4,3,3,1,2,1,1,6,1,3,3,3,0,3,0
336,0,5,0,1,3,1,3,1,4,1,4,1,4,0,1,0,0,2,0,21,2,1,1,1,25,0,1,3,1,1,2,1,1,6,0,2,3,2,0,3,0
337,0,5,0,1,3,1,4,1,4,1,4,1,1,0,1,0,0,2,0,20,2,1,0,1,24,0,4,3,3,1,2,1,2,6,1,4,3,3,0,4,0
338,0,5,0,0,3,0,1,1,3,0,4,2,1,0,1,0,0,2,0,19,0,1,0,1,23,0,0,3,3,1,2,1,1,6,1,3,3,2,0,3,0
339,0,5,0,2,3,1,0,1,4,1,4,1,4,1,3,0,0,1,1,18,2,1,0,0,21,0,0,2,3,1,4,4,1,6,1,4,3,1,2,1,1
340,0,5,0,0,3,1,0,0,3,1,4,4,4,0,2,0,0,0,0,19,0,1,0,0,21,0,0,2,3,1,2,4,1,6,1,6,3,3,1,3,1
341,0,5,0,1,3,1,1,1,4,1,3,4,4,1,3,1,1,1,1,17,1,1,0,0,22,0,0,3,3,1,5,1,1,6,1,4,3,1,0,1,0
343,0,5,0,3,4,4,1,1,1,1,0,3,4,1,2,1,0,0,1,19,2,1,0,0,22,0,0,3,3,1,4,1,1,6,1,5,3,1,1,0,0
344,0,5,0,3,4,0,1,2,0,4,0,3,3,0,1,0,0,1,0,19,0,0,0,1,22,0,0,2,3,1,1,4,2,6,3,5,1,3,1,3,1
345,0,5,0,0,0,4,1,2,4,1,0,3,4,1,3,1,1,1,1,19,2,0,2,1,21,0,0,2,3,1,4,4,2,6,3,6,4,1,2,1,1
346,0,5,0,1,1,1,1,0,4,0,3,3,4,1,3,1,1,3,1,16,1,1,0,0,20,0,0,2,2,1,5,4,1,6,1,4,3,1,1,1,1
